Date,GDP
1990-01-31,0.0
1990-02-28,-2.69750533442217
1990-03-31,-2.065277521666974
1990-04-30,-10.874318379389374
1990-05-31,1.0062959353020204
1990-06-30,4.141092173546535
1990-07-31,5.96928426543031
1990-08-31,12.926424488290614
1990-09-30,11.469666236400517
1990-10-31,11.798951555543848
1990-11-30,8.890703616869946
1990-12-31,-4.249097758225547
1991-01-31,-19.783461974131345
1991-02-28,-22.963041015779353
1991-03-31,-21.9040594294144
1991-04-30,-13.521772345301757
1991-05-31,-8.888069334316798
1991-06-30,-7.576196622849767
1991-07-31,-3.732778377808804
1991-08-31,-0.4188509259503174
1991-09-30,-5.4266220594821
1991-10-31,-2.829219462079503
1991-11-30,-7.5867337530623535
1991-12-31,-16.696082821843472
1992-01-31,-21.93567082005216
1992-02-29,-20.13382155369985
1992-03-31,-18.616474803087378
1992-04-30,-17.976344142672744
1992-05-31,-15.144490398040094
1992-06-30,-13.40849819551645
1992-07-31,-11.143015199810332
1992-08-31,-11.416980585337583
1992-09-30,-11.611917494270436
1992-10-31,-10.850609836411053
1992-11-30,-10.847975553857907
1992-12-31,-16.669739996312003
1993-01-31,-15.118147572508628
1993-02-28,-15.971655119728142
1993-03-31,-7.154711414346303
1993-04-30,-6.7200547930771055
1993-05-31,-4.949816917362556
1993-06-30,-4.789125681620611
1993-07-31,-1.7834092884802824
1993-08-31,-0.18703406127341218
1993-09-30,-0.700719159137009
1993-10-31,-1.815020679118042
1993-11-30,-1.7070150944390294
1993-12-31,-7.1915913700903555
1994-01-31,6.577803535207186
1994-02-28,3.587892837385738
1994-03-31,14.68349095123943
1994-04-30,11.517083322357156
1994-05-31,16.495877347804324
1994-06-30,18.374120808197887
1994-07-31,19.801901952003373
1994-08-31,27.907589368035616
1994-09-30,28.826953979083797
1994-10-31,29.835884196938963
1994-11-30,29.103553647164194
1994-12-31,23.935091277890468
1995-01-31,60.580595874713524
1995-02-28,57.11914859987882
1995-03-31,72.66141566344406
1995-04-30,68.07776402096889
1995-05-31,68.51242064223808
1995-06-30,70.64355522773373
1995-07-31,71.78946813835252
1995-08-31,74.75040172808936
1995-09-30,74.47380206000895
1995-10-31,73.85474566001949
1995-11-30,74.70561892468587
1995-12-31,63.16482705935039
1996-01-31,70.42227549326941
1996-02-29,71.98967361239167
1996-03-31,82.43196965306498
1996-04-30,79.16545928716315
1996-05-31,85.74326282237033
1996-06-30,82.35030689391745
1996-07-31,95.1555543847633
1996-08-31,99.66281183319722
1996-09-30,96.49640420431496
1996-10-31,98.88306419746581
1996-11-30,94.82626906561998
1996-12-31,84.69481836621796
1997-01-31,82.03946155264613
1997-02-28,78.4067859118569
1997-03-31,87.59779773978556
1997-04-30,88.61989937040647
1997-05-31,93.24833381628514
1997-06-30,93.4722478333026
1997-07-31,98.29035062300782
1997-08-31,101.8018492663523
1997-09-30,103.54311003398224
1997-10-31,111.86480861937251
1997-11-30,101.47783251231527
1997-12-31,86.44925054661363
1998-01-31,77.5927926029346
1998-02-28,73.56497457917337
1998-03-31,88.10094570743658
1998-04-30,86.82331866916046
1998-05-31,92.76099154395301
1998-06-30,89.91333210400147
1998-07-31,96.38313005452964
1998-08-31,97.89257395748268
1998-09-30,96.50167276942125
1998-10-31,99.47577777192382
1998-11-30,94.36790390137246
1998-12-31,82.30552409051396
1999-01-31,21.838202365585733
1999-02-28,19.554279392007587
1999-03-31,31.92223597903111
1999-04-30,29.514501725455073
1999-05-31,30.56294618160744
1999-06-30,31.221516819894102
1999-07-31,32.767840678591185
1999-08-31,36.59281894576012
1999-09-30,36.62179605384473
1999-10-31,38.76873633465926
1999-11-30,37.47793788361739
1999-12-31,31.856378915202445
2000-01-31,30.046626801190694
2000-02-29,35.057032217275626
2000-03-31,42.99939411501278
2000-04-30,37.24348673638735
2000-05-31,43.75016464265957
2000-06-30,45.15950580859303
2000-07-31,47.13258344089987
2000-08-31,50.833750428070914
2000-09-30,47.380206000895654
2000-10-31,53.296804615263035
2000-11-30,50.53607649956535
2000-12-31,43.88451305287005
2001-01-31,15.924238033771502
2001-02-28,16.50641447801691
2001-03-31,25.083638471062407
2001-04-30,23.03416664471431
2001-05-31,27.246384447195805
2001-06-30,18.60593767287479
2001-07-31,24.493559179157558
2001-08-31,27.515081267616765
2001-09-30,24.132662469376466
2001-10-31,27.678406785911857
2001-11-30,25.89236321487843
2001-12-31,17.928927056716102
2002-01-31,2.555254076552251
2002-02-28,2.615842575274624
2002-03-31,10.17623350280551
2002-04-30,10.840072706198466
2002-05-31,11.762071599799794
2002-06-30,8.951292115592318
2002-07-31,13.835251969126208
2002-08-31,16.293037591212034
2002-09-30,15.025947683148495
2002-10-31,19.217091225204815
2002-11-30,16.732962777587524
2002-12-31,10.479175996417375
2003-01-31,13.916914728273754
2003-02-28,17.541687521403546
2003-03-31,23.38979478938911
2003-04-30,23.223834988540872
2003-05-31,20.74760938858302
2003-06-30,18.80614314691394
2003-07-31,26.168962882958827
2003-08-31,24.775427412344246
2003-09-30,26.906561997839887
2003-10-31,29.41176470588235
2003-11-30,25.64737493743579
2003-12-31,23.25544637917863
2004-01-31,31.192539711809488
2004-02-29,32.62295513816812
2004-03-31,49.65095756170807
2004-04-30,45.73904797028529
2004-05-31,44.54835225626301
2004-06-30,46.413424303890835
2004-07-31,53.00439925186375
2004-08-31,51.95858907826454
2004-09-30,50.457048022970945
2004-10-31,52.36426859144912
2004-11-30,54.066015120781856
2004-12-31,51.21308711572403
2005-01-31,77.02642185400806
2005-02-28,78.58855140802403
2005-03-31,98.91994415320987
2005-04-30,96.95476936856247
2005-05-31,94.24409262137456
2005-06-30,95.46376544348146
2005-07-31,99.44943494639234
2005-08-31,104.22275493269409
2005-09-30,99.48368061958325
2005-10-31,102.3208029293222
2005-11-30,102.02839756592292
2005-12-31,101.16171860593768
2006-01-31,124.20905666341771
2006-02-28,122.77073838939965
2006-03-31,146.4740128026132
2006-04-30,135.31255762493086
2006-05-31,145.6152366902874
2006-06-30,140.36511156186612
2006-07-31,151.89009773188272
2006-08-31,156.5027264824425
2006-09-30,145.01725455072312
2006-10-31,151.51339532678276
2006-11-30,150.24367113616606
2006-12-31,146.5820183872922
2007-01-31,179.5131845841785
2007-02-28,177.0290561365612
2007-03-31,207.41550538710783
2007-04-30,198.24556781960433
2007-05-31,208.46658412581334
2007-06-30,205.3871078211849
2007-07-31,216.9068254260952
2007-08-31,219.98103316561733
2007-09-30,206.87020889860648
2007-10-31,226.41921972550776
2007-11-30,220.6053581307131
2007-12-31,212.72095044914516
2008-01-31,245.83124785964543
2008-02-29,246.80856668686283
2008-03-31,268.2621637996892
2008-04-30,271.312662996233
2008-05-31,271.8948394404784
2008-06-30,280.65909749479727
2008-07-31,300.2265482995706
2008-08-31,291.84426121545795
2008-09-30,288.45920813466455
2008-10-31,291.9232896920524
2008-11-30,261.1548694712995
2008-12-31,241.85084692184083
2009-01-31,229.00081662759146
2009-02-28,230.37327783778088
2009-03-31,265.9835093912173
2009-04-30,255.10919101182793
2009-05-31,259.44785437686045
2009-06-30,265.9255551750481
2009-07-31,280.98574853138746
2009-08-31,280.10853244118965
2009-09-30,278.2487289586681
2009-10-31,292.0997866231132
2009-11-30,284.9187323832354
2009-12-31,283.95985353389005
2010-01-31,339.6064381865599
2010-02-28,345.4703511498643
2010-03-31,400.89565606806985
2010-04-30,382.5689523458286
2010-05-31,381.0832169858539
2010-06-30,379.3682990437554
2010-07-31,398.7566186349148
2010-08-31,399.16756671320564
2010-09-30,392.59239746055164
2010-10-31,401.7807750059271
2010-11-30,404.31758910460735
2010-12-31,395.5032796817787
2011-01-31,424.4619477885198
2011-02-28,440.1095861542109
2011-03-31,477.78772951186744
2011-04-30,465.56992703037326
2011-05-31,480.9146229024525
2011-06-30,474.91372724638444
2011-07-31,487.27378098574854
2011-08-31,498.5406074655568
2011-09-30,478.6544084718527
2011-10-31,488.2194884223282
2011-11-30,488.68575643423515
2011-12-31,477.86675798846187
2012-01-31,397.9426253259925
2012-02-29,406.59624351307923
2012-03-31,449.0081926187403
2012-04-30,426.18740286083084
2012-05-31,442.57264034140303
2012-06-30,433.51070835857854
2012-07-31,455.56755617607547
2012-08-31,468.1805010405416
2012-09-30,439.3535470614578
2012-10-31,468.6204262269171
2012-11-30,454.01332946971894
2012-12-31,436.20557941044757
2013-01-31,410.39487895471666
2013-02-28,401.6806722689076
2013-03-31,443.8028502937225
2013-04-30,448.8343299702326
2013-05-31,438.8108848555096
2013-06-30,431.9538473696689
2013-07-31,459.044809146229
2013-08-31,459.06851768920734
2013-09-30,443.26282237032746
2013-10-31,460.5621558968415
2013-11-30,446.35283580516847
2013-12-31,440.3519401491004
2014-01-31,414.69139379889884
2014-02-28,418.0211269460762
2014-03-31,438.5000395142383
2014-04-30,435.42583177471613
2014-05-31,434.1271304760149
2014-06-30,411.86217433681935
2014-07-31,441.76654988014013
2014-08-31,435.83677985300704
2014-09-30,436.0791338478965
2014-10-31,444.7169463396644
2014-11-30,426.45873396380495
2014-12-31,426.71689365401335
2015-01-31,280.7829087747952
2015-02-28,275.8989489212613
2015-03-31,313.0107215299913
2015-04-30,294.143989884355
2015-05-31,287.60833486999815
2015-06-30,285.31387476620745
2015-07-31,298.598561681726
2015-08-31,291.8231869550328
2015-09-30,283.8939964700614
2015-10-31,290.4586285925028
2015-11-30,278.88359105397643
2015-12-31,279.02584231184636
2016-01-31,258.8762150628276
2016-02-29,264.81915650272646
2016-03-31,293.640841916704
2016-04-30,282.7401807117831
2016-05-31,275.67240062169066
